country_iso3,country_name,country_name_ja,title,summary,background,impact,future,detail,related_countries,impact_summary,category,event_date,source_name,source_url,importance
USA,America,アメリカ,ホワイトハウス晩餐会でのテロ事件,ホワイトハウスにて開かれた晩餐会で発砲があり、トランプ大統領やバンス副大統領らが避難。容疑者は拘束され、連邦高官にけがは確認されていない。,晩餐会は政権幹部や記者が集まる恒例行事。過去にもトランプ大統領を狙った事件があり、警備体制への関心が高まっていた。,,捜査当局は動機や単独犯かを確認する見通し。大統領関連行事の警備強化や政治集会の安全対策が焦点になる。,,,アメリカでは政治暴力への警戒がさらに強まり、選挙や政府行事の運営に影響する可能性がある。日本にとっても同盟国の政治安定は安全保障や市場心理に関わり、米政権の対外政策が停滞しないか注視が必要だ。,国内政治,2026/4/26,Bloomberg,https://www.bloomberg.com/news/articles/2026-04-26/alleged-shooter-at-white-house-press-event-in-custody?srnd=homepage-americas,4
USA,America,アメリカ,アメリカとイランの停戦協議が中止に,トランプ大統領はイラン紛争をめぐる協議のためパキスタンへ向かう予定だった特使の派遣を取りやめたと発表。停戦の先行きに不透明感が広がっている。,米国とイランの対立では、パキスタンが仲介役となり協議継続を探っていた。だが双方の条件には隔たりが残る。,,今後はイラン側が直接協議に応じるか、停戦が維持されるかが焦点となる。交渉停滞が軍事的緊張を再び高めるおそれもある。,,IRN;PAK,アメリカとイラン協議の停滞は、中東の安全保障だけでなく原油輸送やエネルギー価格にも影響する。ホルムズ海峡周辺の緊張が続けば、日本にとっても燃料価格や企業活動への負担が増す要因になり得る。,外交,2026/4/25,Bloomberg,https://www.bloomberg.com/news/articles/2026-04-25/trump-cancels-envoys-pakistan-trip-for-iran-talks-fox-reports?srnd=homepage-americas,5
USA,America,アメリカ,米共和党の進める選挙区再編計画が失敗する,11月の中間選挙に向けた選挙区再編計画が失敗し、共和党内の中間選挙不安を強めていると報じられる。支持率低下や物価高への不満も重なり、接戦区の候補者に逆風となっている。,アメリカでは中間選挙で政権与党が議席を減らしやすい。今回は区割り争いとイラン情勢、経済不安が同時に重なっている。,,共和党がトランプ大統領の政策を前面に押し出すのか、地域課題や経済政策に軸足を移すのかが焦点となる。民主党は接戦区で攻勢を強める見通しだ。,,,アメリカ議会の勢力図が変われば、ウクライナ支援や対中政策、関税、エネルギー政策の進め方にも影響する。日本にとっては、米国の同盟政策や通商方針の揺れが安全保障や企業活動の不確実性を高める要因になる。,国内政治,2026/4/25,Bloomberg,https://www.bloomberg.com/news/articles/2026-04-25/trump-s-war-redistricting-setbacks-fan-republican-midterm-angst?srnd=phx-politics,5
USA,America,アメリカ,米軍がアラビア海でイラン関係船舶の航行を阻止,米軍はアラビア海でイランのエネルギー輸出に関わる船舶の航行を阻止。同船は米軍の指示に従いイランへ戻っている。,アメリカはイランの資金源を弱めるため、石油やガスを運ぶ「影の船団」への制裁と海上封鎖を強めている。,,イランが海上で対抗措置を取るか、ホルムズ海峡周辺の船舶運航がさらに滞るかが焦点となる。,,IRN,アラビア海やホルムズ海峡周辺の緊張は、原油やガスの輸送不安を高める。日本は中東へのエネルギー依存が大きく、航行リスクや保険料の上昇が燃料価格、物流、企業収益に波及するおそれがある。,紛争,2026/4/26,Bloomberg,https://www.bloomberg.com/news/articles/2026-04-25/us-says-it-intercepted-iran-linked-vessel-in-arabian-sea?srnd=phx-politics,5
CHN,China,中国,中国外相のミャンマー訪問,中国の王毅外相はミャンマーの首都ネピドーでミンアウンフライン大統領と会談し、国境貿易の再開やエネルギー、鉱業での協力を協議した。オンライン詐欺対策や農業、技術協力も議題となった。,ミャンマーは2021年のクーデター後、内戦と経済低迷が続く。中国は国境安定と資源確保を重視している。,,国境地帯の戦闘が収まるか、貿易再開が実際に進むかが焦点となる。少数民族武装勢力との停戦維持も重要だ。,,MMR,中国とミャンマーの国境安定化は、中国の資源調達や東南アジアの物流に関わる。鉱物やエネルギーの流れが回復すれば供給不安は和らぐが、軍政への接近が進めば欧米や東南アジア諸国との外交摩擦も強まり得る。日本企業にとっては調達網の見直し材料となる。,外交,2026/4/25,Bloomberg,https://www.bloomberg.com/news/articles/2026-04-25/china-s-wang-yi-discusses-reopening-border-trade-with-myanmar?srnd=phx-politics,3
FRA,France,フランス,フランスとギリシャが防衛協定を更新する,フランスのマクロン大統領とギリシャのミツォタキス首相は、2021年に結んだ防衛協定を5年間延長した。相互防衛に加え、エネルギーや科学技術など幅広い協力も確認した。,欧州では米国の関与への不安や中東緊張を受け、自前の防衛力を高める動きが強まっている。,,両国の協力が欧州連合の防衛体制強化につながるかが焦点となる。東地中海や海上交通の安全確保も注目される。,,GRC,フランスとギリシャの連携強化は、欧州が米国だけに頼らず安全保障を支える流れを示す。東地中海やホルムズ海峡をめぐる議論にも関わり、エネルギー輸送の安定は日本の燃料価格や物流にも影響し得る。,外交,2026/4/25,Bloomberg,https://www.bloomberg.com/news/articles/2026-04-25/france-and-greece-renew-defense-pact-deepening-military-ties?srnd=phx-politics,4
MLI,Mali,マリ,反政府勢力がマリの首都を攻撃,首都バマコ近郊のカティ基地のほか、中部や北部の複数地点が武装集団に同時攻撃されたと発表される。国際空港周辺でも銃撃があり、軍は攻撃側と交戦した。,マリでは2012年以降、イスラム過激派やトゥアレグ系勢力との紛争が続く。軍政はロシア系部隊の支援で治安回復を進めてきた。,,攻撃が一時的な示威行動にとどまるか、首都や北部支配を揺さぶる長期戦に広がるかが焦点となる。,,,マリの不安定化は、西アフリカのサヘル地域全体に過激派の活動を広げるおそれがある。金や物流の流れにも影響し、欧州への移民圧力や対テロ協力の負担が増す。,紛争,2026/4/25,Bloomberg,https://www.bloomberg.com/news/articles/2026-04-25/military-sites-in-mali-attacked-by-armed-groups-army-says?srnd=phx-politics,3
USA,America,アメリカ,アメリカが中国大手石油企業へ制裁を課す,米財務省は4月24日、中国の恒力石化大連製油所を制裁対象に加えた。イラン産石油を大量に購入し、イランの収入源を支えたとして、関連する船舶や海運会社約40件も対象にした。,米国はイランの石油収入が軍事活動を支えるとみて、制裁逃れに使われる船舶網への圧力を強めている。,,焦点は、中国企業や銀行への制裁がさらに広がるか、米イラン協議と米中関係にどこまで影響するかと推察される。,,CHN,制裁強化はイランの資金調達を抑える一方、中国の石油調達や米中関係を揺らす要因になる。中東産原油の流れが不安定になれば、国際原油価格や海上保険料が上がり、日本の燃料費や企業物流にも影響が及ぶおそれがある。,外交,2026/4/24,Bloomberg,https://www.bloomberg.com/news/articles/2026-04-24/us-sanctions-china-refinery-iran-shadow-fleet-ahead-of-talks?srnd=phx-politics,3
GBR,Britain,イギリス,イギリスにて安楽死法案が否決される,イギリスで終末期の成人に自死の医療支援を認める法案が、上院での審議時間が尽きたことで成立せず。反対派が多数の修正案を出し、採決に進まなかった。,イギリスでは、終末期医療の選択を広げるべきだとの声と、弱い立場の人を守る制度が不十分だとの懸念が対立してきた。,,支持派は次の会期で法案を再提出する構え。焦点は安全対策をどう強め、上院の手続き上の抵抗を乗り越えられるかにある。,,,法案の失敗は、イギリスにおけるで死の選択をめぐる社会的議論が続くことを意味する。医療倫理や高齢者福祉、障害者保護のあり方にも影響すると思われる,国内政治,2026/4/24,Bloomberg,https://www.bloomberg.com/news/articles/2026-04-24/uk-s-assisted-dying-bill-fails-after-parliamentary-time-runs-out?srnd=phx-politics,2
UKR,Ukraine,ウクライナ,ロシアとウクライナが捕虜193名の交換を実施,ロシアとウクライナは捕虜193人の交換を実施した。アメリカとUAEが仲介し、戦闘が続くなかでも人道分野では対話の余地が残っていることを示した。,ロシアの侵攻開始後、停戦交渉は難航しているが、捕虜交換は両国が続ける数少ない実務協議の一つとなっている。,,今後は同様の交換が続くか、停戦や和平協議につながる信頼づくりになるかが焦点となる。戦闘拡大で中断するリスクもある。,,RUS,捕虜交換は戦争終結を意味しないが、アメリカやUAEの仲介が機能している点は重要と言える。対話の窓口が保たれれば、欧州の安全保障やエネルギー市場の不安を和らげる材料になる。,紛争,2026/4/24,Bloomberg,https://www.bloomberg.com/news/articles/2026-04-24/russia-and-ukraine-exchange-193-prisoners-each-in-latest-swap?srnd=phx-politics,2
